region_id,sex,total_disabled_no,total_disabled_rate,seeing_disability_no,seeing_disability_rate,hearing_speaking_no,hearing_speaking_rate,hands_disability_no,hands_disability_rate,legs_disability_no,legs_disability_rate,mental_disability_no,mental_disability_rate,other_disability_no,other_disability_rate
Total,both_sexes,274711,162.9,69096,41.0,73343,43.5,48131,28.5,90576,53.7,13275,7.9,69026,40.9
Total,male,158446,189.9,35419,42.5,40584,48.6,31070,37.2,56529,67.8,7344,8.8,37181,44.6
Total,female,116265,136.4,33677,39.5,32759,38.4,17061,20.0,34047,40.0,5931,7.0,31845,37.4
LK-11,both_sexes,27430,122.8,5998,26.8,6414,28.7,4854,21.7,9168,41.0,1219,5.5,8730,39.1
LK-11,male,15355,135.4,2997,26.4,3507,30.9,3208,28.3,5655,49.9,698,6.2,4391,38.7
LK-11,female,12075,109.8,3001,27.3,2907,26.4,1646,15.0,3513,31.9,521,4.7,4339,39.4
LK-12,both_sexes,28683,138.8,7017,34.0,7860,38.0,5206,25.2,9984,48.3,1387,6.7,7313,35.4
LK-12,male,16591,165.2,3474,34.6,4284,42.6,3376,33.6,6249,62.2,743,7.4,4033,40.2
LK-12,female,12092,113.9,3543,33.4,3576,33.7,1830,17.2,3735,35.2,644,6.1,3280,30.9
LK-13,both_sexes,18431,173.7,4690,44.2,5043,47.5,3272,30.8,6209,58.5,808,7.6,4809,45.3
LK-13,male,10471,201.1,2303,44.2,2757,52.9,2096,40.3,3818,73.3,431,8.3,2605,50.0
LK-13,female,7960,147.4,2387,44.2,2286,42.3,1176,21.8,2391,44.3,377,7.0,2204,40.8
LK-21,both_sexes,19357,152.1,4537,35.7,5395,42.4,3300,25.9,6292,49.4,840,6.6,5181,40.7
LK-21,male,11057,179.3,2250,36.5,3035,49.2,2070,33.6,3948,64.0,468,7.6,2817,45.7
LK-21,female,8300,126.6,2287,34.9,2360,36.0,1230,18.8,2344,35.7,372,5.7,2364,36.0
LK-22,both_sexes,7466,168.8,1920,43.4,2017,45.6,1335,30.2,2450,55.4,326,7.4,1727,39.0
LK-22,male,4378,199.1,1007,45.8,1155,52.5,859,39.1,1544,70.2,173,7.9,953,43.3
LK-22,female,3088,138.8,913,41.0,862,38.7,476,21.4,906,40.7,153,6.9,774,34.8
LK-23,both_sexes,10465,149.5,2857,40.8,2585,36.9,2006,28.7,3474,49.6,477,6.8,1919,27.4
LK-23,male,5998,173.9,1484,43.0,1472,42.7,1246,36.1,2172,63.0,249,7.2,1008,20.2
LK-23,female,4467,125.7,1373,38.6,1113,31.3,760,21.4,1302,36.7,228,6.4,911,25.6
LK-31,both_sexes,17873,180.4,4722,47.7,5051,51.0,3051,30.8,5762,58.2,666,6.7,4981,50.3
LK-31,male,9796,204.3,2235,46.6,2727,56.9,1888,39.4,3389,70.7,346,7.2,2585,53.9
LK-31,female,8077,158.0,2487,48.7,2324,45.5,1163,22.8,2373,46.4,320,6.3,2396,46.9
LK-32,both_sexes,15255,200.4,3773,49.6,4320,56.7,2535,33.3,4764,62.6,681,8.9,4379,57.5
LK-32,male,8486,231.0,1849,50.3,2373,64.6,1574,42.8,2772,75.4,336,9.1,2343,63.8
LK-32,female,6769,171.9,1924,48.9,1947,49.4,961,24.4,1992,50.6,345,8.8,2036,51.7
LK-32,both_sexes,12736,242.4,3682,70.1,3287,62.6,2079,39.6,3745,71.3,628,12.0,3391,64.5
LK-32,male,7181,274.8,1852,70.9,1836,70.3,1272,48.7,2203,84.3,317,12.1,1882,72.0
LK-32,female,5555,210.3,1830,69.3,1451,54.9,807,30.6,1542,58.4,311,11.8,1509,57.1
LK-53,both_sexes,8462,143.6,2339,39.7,2367,40.2,1289,21.9,2511,42.6,324,5.5,1670,28.3
LK-53,male,4973,168.4,1247,42.2,1298,44.0,839,28.4,1623,55.0,191,6.5,946,32.0
LK-53,female,3489,118.7,1092,37.1,1069,36.4,450,15.3,888,30.2,133,4.5,724,24.6
LK-61,both_sexes,26046,179.3,6535,45.0,7145,49.2,4764,32.8,9226,63.5,1179,8.1,6123,42.2
LK-61,male,15212,213.2,3389,47.5,3950,55.4,3078,43.1,5754,80.7,630,8.8,3330,46.7
LK-61,female,10834,146.6,3146,42.6,3195,43.2,1686,22.8,3472,47.0,549,7.4,2793,37.8
LK-62,both_sexes,11558,163.9,2964,42.0,3231,45.8,2121,30.1,3824,54.2,688,9.8,2517,35.7
LK-62,male,6653,191.1,1522,43.7,1722,49.5,1374,39.5,2352,67.6,367,10.5,1398,40.2
LK-62,female,4905,137.3,1442,40.4,1509,42.2,747,20.9,1472,41.2,321,9.0,1119,31.3
LK-71,both_sexes,14830,198.7,3907,52.3,3727,49.9,2505,33.6,5009,67.1,729,9.8,2995,40.1
LK-71,male,8988,237.4,2088,55.1,2077,54.9,1710,45.2,3430,90.6,459,12.1,1607,42.4
LK-71,female,5842,158.8,1819,49.4,1650,44.9,795,21.6,1579,42.9,270,7.3,1388,37.7
LK-72,both_sexes,6010,167.3,1518,42.3,1629,45.4,1045,29.1,1989,55.4,339,9.4,1301,36.2
LK-72,male,3680,196.6,858,45.9,927,49.5,709,37.9,1322,70.6,211,11.3,706,37.7
LK-72,female,2330,135.4,660,38.4,702,40.8,336,19.5,667,38.8,128,7.4,595,34.5
LK-81,both_sexes,12661,163.5,3244,41.9,3282,42.4,2269,29.3,4110,53.1,792,10.2,2696,34.8
LK-81,male,7355,192.0,1715,44.8,1843,48.1,1445,37.7,2559,66.8,460,12.0,1466,38.3
LK-81,female,5306,135.5,1529,39.1,1439,36.8,824,21.0,1551,39.6,332,8.5,1230,31.4
LK-81,both_sexes,6843,172.7,1714,43.3,1779,44.9,1227,31.0,2216,55.9,362,9.1,1576,39.8
LK-81,male,4263,212.6,1000,49.9,1033,51.5,805,40.1,1503,74.9,230,11.5,889,44.3
LK-81,female,2580,131.9,714,36.5,746,38.1,421,21.6,713,36.4,132,6.7,687,35.1
LK-91,both_sexes,17131,169.9,4438,44.0,4585,45.5,2772,27.5,5347,53.0,1028,10.2,4222,41.9
LK-91,male,10075,198.3,2411,47.4,2587,50.0,1852,36.4,3350,65.9,571,11.2,2338,46.0
LK-91,female,7056,141.1,2027,40.5,1998,40.0,920,18.4,1997,39.9,457,9.1,1884,37.7
LK-91,both_sexes,13474,172.8,3241,41.6,3626,46.5,2501,32.1,4496,57.7,802,10.3,3496,44.8
LK-91,male,7934,208.8,1738,45.7,2001,52.7,1669,43.9,2886,75.9,464,12.2,1884,49.6
LK-91,female,5540,138.6,1503,37.6,1625,40.6,832,20.8,1610,40.3,338,8.5,1612,40.3
