region_id,total_households,firewood_no,firewood_pct,lpgas_no,lpgas_pct,kerosene_no,kerosene_pct
Total,4054186,3242693,80.0,600110,14.8,123777,3.1
LK-11,493085,167171,33.9,238322,48.3,67194,13.6
LK-12,487184,325498,66.8,118810,24.4,29492,6.1
LK-13,250939,200912,80.1,41692,16.6,3671,1.5
LK-21,299870,248519,82.9,41399,13.8,3954,1.3
LK-22,110886,102081,92.1,6897,6.2,631,0.6
LK-23,169540,148156,87.4,11844,7.0,3726,2.2
LK-31,233027,200988,86.3,26750,11.5,2002,0.9
LK-32,177613,158039,89.0,16407,9.2,1070,0.6
LK-33,128008,120500,94.1,5699,4.5,429,0.3
LK-53,137741,118468,86.0,10953,8.0,2718,2.0
LK-61,380213,358604,94.3,16381,4.3,986,0.3
LK-62,176544,156112,88.4,14063,8.0,3459,2.0
LK-71,189699,175422,92.5,10532,5.6,884,0.5
LK-72,91718,86052,93.8,3670,4.0,365,0.4
LK-81,189925,172447,90.8,11999,6.3,1248,0.7
LK-82,96598,92222,95.5,2523,2.6,254,0.3
LK-91,245743,228272,92.9,12814,5.2,1075,0.4
LK-92,195853,183230,93.6,9355,4.8,619,0.3
