district,total_occupied_units,huts_shanties_no,huts_shanties_pct
Total,3969027,33188,0.8
Colombo,473045,7278,1.5
Gampaha,475847,3012,0.6
Kalutara,245784,1013,0.4
Kandy,291454,996,0.3
Matale,108566,449,0.4
Nuwara Eliya,164886,1549,0.9
Galle,229521,991,0.4
Matara,174712,741,0.4
Hambantota,126362,877,0.7
Ampara,132371,4513,3.4
Kurunegala,376352,2388,0.6
Puttalam,174737,4919,2.8
Anuradhapura,186697,852,0.5
Polonnaruwa,90999,503,0.6
Badulla,185268,783,0.4
Moneragala,95966,743,0.8
Ratnapura,242882,745,0.3
Kegalle,193578,836,0.4
