district,total_occupied_units,urban,rural,estate
Total,3969027,488365,3262505,218157
Colombo,473045,240531,230684,1830
Gampaha,475847,61832,413809,206
Kalutara,245784,21141,215191,9452
Kandy,291454,30741,237838,22875
Matale,108566,7256,95722,5588
Nuwara Eliya,164886,8934,69474,86478
Galle,229521,20554,204663,4304
Matara,174712,12676,157351,4685
Hambantota,126362,4369,121905,88
Ampara,132371,23327,109044,
Kurunegala,376352,6426,368140,1786
Puttalam,174737,13930,160185,622
Anuradhapura,186697,10856,175600,241
Polonnaruwa,90999,90901,98,
Badulla,185268,10553,136171,38544
Moneragala,95966,93670,2296,
Ratnapura,242882,11841,205773,25268
Kegalle,193578,3398,176384,13796
