district,total_households,owner_occupied_no,owner_occupied_pct,rent_free_no,rent_free_pct,rent_lease_no,rent_lease_pct,encroached_no,encroached_pct
Total,4054186,3328206,82.1,285185,7.0,233146,5.8,55555,1.4
Colombo,493085,352140,71.4,26983,5.5,83508,16.9,8698,1.8
Gampaha,487184,388431,79.7,21386,4.4,53677,11.0,6980,1.4
Kalutara,250939,213525,85.1,14824,5.9,11181,4.5,2138,0.9
Kandy,299870,239230,79.8,26051,8.7,16609,5.5,4109,1.4
Matale,110886,93981,84.8,7941,7.2,4101,3.7,1288,1.2
Nuwara Eliya,169540,91830,54.2,56200,33.1,5977,3.5,1814,1.1
Galle,233027,204506,87.8,10938,4.7,7616,3.3,2610,1.1
Matara,177613,158496,89.2,7768,4.4,3751,2.1,2428,1.4
Hambantota,128008,117954,92.1,2089,1.6,2407,1.9,2488,1.9
Ampara,137741,121432,88.2,6632,4.8,2984,2.2,2165,1.6
Kurunegala,380213,345090,90.8,12913,3.4,8283,2.2,2765,0.7
Puttalam,176544,147577,83.6,13099,7.4,5894,3.3,2180,1.2
Anuradhapura,189699,171771,90.5,3969,2.1,5288,2.8,3114,1.6
Polonnaruwa,91718,82037,89.4,2260,2.5,2462,2.7,2078,2.3
Badulla,189925,138463,72.9,33535,17.7,6652,3.5,3203,1.7
Moneragala,96598,87064,90.1,2930,3.0,2256,2.3,1853,1.9
Ratnapura,245743,204306,83.1,22085,9.0,6086,2.5,4466,1.8
Kegalle,195853,170373,87.0,13582,6.9,4414,2.3,1178,0.6
