region_id,total_occupied_units,permanent_no,permanent_pct,semi_permanent_no,semi_permanent_pct,improvised_no,improvised_pct
Total,3969027,2771860,69.8,1123003,28.3,33799,0.9
LK-11,473045,408473,86.3,54234,11.5,1293,0.3
LK-12,475847,380985,80.1,83351,17.5,5251,1.1
LK-13,245784,193973,78.9,48347,19.7,1094,0.4
LK-21,291454,211576,72.6,76634,26.3,430,0.1
LK-22,108566,61990,57.1,45588,42.0,461,0.4
LK-23,164886,106766,64.8,54618,33.1,300,0.2
LK-31,229521,166119,72.4,60304,26.3,1722,0.8
LK-32,174712,126683,72.5,46118,26.4,1096,0.6
LK-33,126362,75720,59.9,49367,39.1,590,0.5
LK-53,132371,87347,66.0,39806,30.1,3917,3.0
LK-61,376352,241602,64.2,127978,34.0,4493,1.2
LK-62,174737,107965,61.8,55263,31.6,9908,5.7
LK-71,186697,99710,53.4,84703,45.4,853,0.5
LK-72,90999,54193,59.6,35566,39.1,431,0.5
LK-81,185268,120557,65.1,62426,33.7,194,0.1
LK-82,95966,46691,48.7,48327,50.4,380,0.4
LK-91,242882,148266,61.0,92413,38.0,406,0.2
LK-92,193578,133244,68.8,57960,29.9,980,0.5
