district,total_employed_pop,agriculture_hunting_forestry_pct,fishing_pct,mining_quarrying_pct,manufacturing_pct,electricity_gas_water_pct,construction_pct,wholesale_retail_pct,hotels_restaurants_pct,transport_storage_communication_pct,financial_pct,real_estate_renting_business_pct,public_admin_defence_pct,education_pct,health_social_work_pct,other_community_services_pct,private_households_pct,extra_territorial_pct,not_identifiable_pct,armed_forces_pct
Total,5941574,27.7,1.0,0.9,17.2,0.2,4.1,11.6,1.8,5.4,1.1,1.6,8.5,3.9,1.7,1.3,1.1,0.0,5.9,4.8
Colombo,855142,2.1,0.3,0.4,23.1,0.3,4.9,16.7,2.8,8.2,2.5,4.1,10.9,3.7,2.8,2.5,3.3,0.0,4.1,7.2
Gampaha,756186,4.2,1.1,0.5,34.5,0.2,5.2,14.1,2.0,8.1,1.6,2.6,8.8,3.4,1.6,1.6,1.2,0.0,4.8,4.5
Kalutara,356837,15.4,0.8,1.1,21.4,0.3,5.1,13.4,2.5,6.3,1.3,1.9,9.4,4.0,1.7,1.5,1.0,0.0,7.2,5.7
Kandy,407554,21.9,0.0,0.7,13.8,0.3,4.9,14.0,2.4,5.9,1.1,1.5,10.1,5.6,2.4,1.3,1.4,0.0,7.4,5.4
Matale,156179,39.3,0.1,1.1,10.6,0.1,3.4,11.1,2.1,4.3,0.7,0.9,8.1,3.9,1.2,1.0,0.9,0.0,8.1,3.2
Nuwara Eliya,281546,61.6,0.0,0.2,6.4,0.0,1.7,6.8,1.3,2.6,0.3,0.4,4.4,2.7,0.9,0.7,0.9,0.0,3.3,5.7
Galle,318680,29.3,1.2,0.5,16.4,0.1,4.7,10.4,2.4,4.9,0.9,1.1,8.1,4.5,1.7,1.3,0.7,0.0,7.5,4.2
Matara,242175,35.2,2.4,0.3,15.0,0.2,4.3,10.6,1.1,5.2,1.0,0.9,6.8,5.4,1.5,1.0,0.6,0.0,5.4,3.2
Hambantota,164923,40.0,3.0,0.5,13.7,0.2,3.9,9.2,1.3,3.7,0.7,0.6,7.3,4.3,1.2,0.9,0.3,0.0,5.5,3.7
Ampara,162322,40.4,3.6,0.3,6.6,0.2,4.4,9.8,1.0,3.6,0.5,0.3,11.6,5.0,1.4,1.0,0.2,0.0,5.0,5.0
Kurunegala,514553,33.1,0.2,0.9,16.3,0.1,4.3,10.9,1.2,4.7,0.8,1.0,7.4,4.4,1.6,1.0,0.6,0.0,7.8,4.0
Puttalam,229425,18.1,9.0,0.6,20.1,0.1,5.5,12.4,1.5,5.5,0.7,1.0,5.9,3.0,1.1,1.2,0.9,0.0,9.2,4.1
Anuradhapura,285806,51.7,0.6,0.4,6.8,0.1,2.0,7.6,1.1,2.8,0.6,0.6,12.3,3.6,1.3,0.8,0.4,0.0,4.0,3.5
Polonnaruwa,137078,50.2,1.0,0.4,8.4,0.0,1.4,7.1,1.1,2.5,0.5,0.4,11.5,2.7,0.9,0.8,0.4,0.0,5.2,5.4
Badulla,294223,55.9,0.1,0.4,5.8,0.1,1.9,7.6,1.0,3.3,0.6,0.6,7.0,4.1,1.5,0.8,0.6,0.0,3.9,4.7
Moneragala,144600,60.6,0.2,0.5,7.6,0.1,1.5,6.7,0.9,2.6,0.4,0.4,6.6,3.2,0.9,0.7,0.3,0.0,3.0,3.8
Ratnapura,375365,44.0,0.1,5.8,10.5,0.2,3.0,9.1,1.0,3.4,0.5,0.6,5.1,3.1,1.2,0.7,0.5,0.0,7.9,3.4
Kegalle,258980,24.7,0.0,1.1,18.5,0.2,5.1,11.0,1.7,6.3,0.9,1.1,7.5,4.6,1.6,1.1,0.8,0.0,9.3,4.5
