district,total_population,never_married_no,never_married_pct,total_married_no,total_married_pct,legally_married_no,legally_married_pct,customary_married_no,customary_married_pct,widowed_no,widowed_pct,divorced_no,divorced_pct,legally_separated_no,legally_separated_pct,not_stated_no,not_stated_pct
Total,16929689,8264148,48.8,7817703,46.2,7420794,43.8,396909,2.3,549594,3.2,23820,0.1,15961,0.1,78866,0.5
Colombo,2251274,1089815,48.4,1053168,46.8,1006987,44.7,46181,2.1,70407,3.1,3533,0.2,2002,0.1,8974,0.4
Gampaha,2063684,993155,48.1,965569,46.8,919064,44.5,46505,2.3,72719,3.5,3020,0.1,1876,0.1,10199,0.5
Kalutara,1066239,502754,47.2,504338,47.3,482697,45.3,21641,2.0,35663,3.3,1469,0.1,887,0.1,4781,0.4
Kandy,1279028,636485,49.8,577870,45.2,547749,42.8,30121,2.4,42121,3.3,1663,0.1,1077,0.1,4462,0.3
Matale,441328,213130,48.3,205416,46.5,194098,44.0,11318,2.6,16214,3.7,646,0.1,442,0.1,2145,0.5
Nuwara Eliya,703610,348465,49.5,322197,45.8,290260,41.3,31937,4.5,20870,3.0,683,0.1,469,0.1,1985,0.3
Galle,990487,492852,49.8,451845,45.6,434167,43.8,17678,1.8,31599,3.2,1128,0.1,712,0.1,4506,0.5
Matara,761370,387128,50.8,339535,44.6,326553,42.9,12982,1.7,23941,3.1,881,0.1,578,0.1,3387,0.4
Hambantota,526414,268662,51.0,234267,44.5,223790,42.5,10477,2.0,15273,2.9,636,0.1,472,0.1,2675,0.5
Ampara,592997,315106,53.1,250239,42.2,231836,39.1,18403,3.1,17393,2.9,1170,0.2,1052,0.2,2113,0.4
Kurunegala,1460215,670500,45.9,697227,47.7,669514,45.9,27713,1.9,60001,4.1,3034,0.2,2047,0.1,9930,0.7
Puttalam,709677,343972,48.5,323844,45.6,303488,42.8,20356,2.9,25862,3.6,1140,0.2,821,0.1,5253,0.7
Anuradhapura,745693,360760,48.4,348638,46.8,331511,44.5,17127,2.3,23725,3.2,998,0.1,693,0.1,4173,0.6
Polonnaruwa,358984,172910,48.2,171057,47.7,163109,45.4,7948,2.2,9586,2.7,429,0.1,295,0.1,1647,0.5
Badulla,779983,389551,49.9,355063,45.5,334923,42.9,20140,2.6,21518,2.8,691,0.1,484,0.1,2440,0.3
Moneragala,397375,206034,51.8,176112,44.3,168570,42.4,7542,1.9,9198,2.3,333,0.1,230,0.1,1507,0.4
Ratnapura,1015807,502797,49.5,466868,46.0,436594,43.0,30274,3.0,26940,2.7,1173,0.1,903,0.1,5136,0.5
Kegalle,785524,370072,47.1,374450,47.7,355884,45.3,18566,2.4,26564,3.4,1193,0.2,921,0.1,3553,0.5
