district,total_not_attending_pct,urban_not_attending_pct,rural_not_attending_pct,estate_not_attending_pct
Total,6.3,8.1,5.4,14.7
Colombo,7.7,9.7,5.2,11.8
Gampaha,5.2,7.4,4.8,9.4
Kalutara,7.1,7.8,6.6,15.8
Kandy,5.5,5.6,4.8,12.6
Matale,5.1,5.2,4.7,11.3
Nuwara Eliya,9.7,7.1,4.8,13.6
Galle,5.2,5.2,4.9,21.3
Matara,5.3,4.5,4.2,37.7
Hambantota,4.1,8.5,4.0,20.0
Ampara,7.7,7.1,7.9,
Kurunegala,5.2,9.3,5.1,8.6
Puttalam,8.3,10.3,8.1,17.3
Anuradhapura,4.9,4.8,4.9,1.3
Polonnaruwa,6.2,6.2,4.8,
Badulla,6.6,4.6,5.3,11.9
Moneragala,4.9,4.7,14.2,
Ratnapura,7.7,6.2,6.3,20.8
Kegalle,5.6,8.1,4.9,14.1
