region_id,population_1981,population_2001,intercensal_increase_no,intercensal_increase_pct,avg_annual_growth_rate_pct
Sri Lanka(a),14846750,18797257,3950507,26.6,1.2
Total - 18 Districts,13151065,16929689,3778624,28.7,1.2
LK-11,1699241,2251274,552033,32.5,1.4
LK-12,1390862,2063684,672822,48.4,1.9
LK-13,829704,1066239,236535,28.5,1.2
LK-21,1048317,1279028,230711,22.0,1.0
LK-22,357354,441328,83974,23.5,1.0
LK-23,603577,703610,100033,16.6,0.8
LK-31,814531,990487,175956,21.6,1.0
LK-32,643786,761370,117584,18.3,0.8
LK-33,424344,526414,102070,24.1,1.1
Jaffna(a),738788,490621,-248167,-33.6,-2.0
Mannar(a),106235,151577,45342,42.7,1.7
Vavuniya(a),95428,149835,54407,57.0,2.2
Mullaitivu(a),77189,121667,44478,57.6,2.2
Kilinochchi(a),91764,127263,35499,38.7,1.6
Batticaloa(a),330333,486447,156114,47.3,1.9
LK-53,388970,592997,204027,52.5,2.1
Trincomalee(a),255948,340158,84210,32.9,1.4
LK-61,1211801,1460215,248414,20.5,0.9
LK-62,492533,709677,217144,44.1,1.8
LK-71,587929,745693,157764,26.8,1.2
LK-72,261563,358984,97421,37.2,1.6
LK-81,640952,779983,139031,21.7,1.0
LK-82,273570,397375,123805,45.3,1.8
LK-91,797087,1015807,218720,27.4,1.2
LK-92,684944,785524,100580,14.7,0.7
