district,total_population,total_pct,buddhist_no,buddhist_pct,hindu_no,hindu_pct,islam_no,islam_pct,roman_catholic_no,roman_catholic_pct,other_christian_no,other_christian_pct,other_religion_no,other_religion_pct
Total,16929689,100,12986548,76.7,1312970,7.8,1435896,8.5,1035740,6.1,150182,0.9,8353,0.0
Colombo,2251274,100,1578246,70.1,194743,8.7,241944,10.7,181920,8.1,51334,2.3,3087,0.1
Gampaha,2063684,100,1479955,71.7,42356,2.1,93496,4.5,418286,20.3,28361,1.4,1230,0.1
Kalutara,1066239,100,883968,82.9,34678,3.3,105957,9.9,36176,3.4,5038,0.5,422,0.0
Kandy,1279028,100,937001,73.3,134438,10.5,173590,13.6,23232,1.8,10330,0.8,437,0.0
Matale,441328,100,348762,79.0,42433,9.6,39980,9.1,8400,1.9,1703,0.4,50,0.0
Nuwara Eliya,703610,100,279139,39.7,359135,51.0,19099,2.7,35008,5.0,10741,1.5,488,0.1
Galle,990487,100,932331,94.1,14934,1.5,35100,3.5,4568,0.5,3378,0.3,176,0.0
Matara,761370,100,716710,94.1,17339,2.3,22481,3.0,2703,0.4,2001,0.3,136,0.0
Hambantota,526414,100,509987,96.9,1369,0.3,13076,2.5,924,0.2,949,0.2,109,0.0
Ampara,592997,100,235652,39.7,100213,16.9,245179,41.3,7816,1.3,3969,0.7,168,0.0
Kurunegala,1460215,100,1300539,89.1,13303,0.9,98223,6.7,40680,2.8,6960,0.5,510,0.0
Puttalam,709677,100,308273,43.4,29482,4.2,134643,19.0,229966,32.4,6830,1.0,483,0.1
Anuradhapura,745693,100,670963,90.0,3459,0.5,62797,8.4,6266,0.8,2073,0.3,135,0.0
Polonnaruwa,358984,100,320491,89.3,6592,1.8,27225,7.6,3883,1.1,691,0.2,102,0.0
Badulla,779983,100,561510,72.0,158473,20.3,41347,5.3,13236,1.7,5242,0.7,175,0.0
Moneragala,397375,100,375252,94.4,11623,2.9,8183,2.1,1583,0.4,681,0.2,53,0.0
Ratnapura,1015807,100,880151,86.6,96738,9.5,21901,2.2,11728,1.2,4924,0.5,365,0.0
Kegalle,785524,100,667618,85.0,51662,6.6,51675,6.6,9365,1.2,4977,0.6,227,0.0
