district,age_6_9_attendance_rate_pct,age_10_14_attendance_rate_pct,age_15_19_not_attending_pct,age_6_14_attendance_rate_pct,age_15_19_attendance_rate_pct
Total,94.4,92.2,52.6,93.2,77.9
Colombo,93.2,90.3,46.3,91.6,72.9
Gampaha,95.6,93.3,46.0,94.3,74.5
Kalutara,93.8,91.2,51.5,92.3,76.6
Kandy,94.8,93.2,60.0,93.9,81.3
Matale,95.4,93.7,54.2,94.5,79.3
Nuwara Eliya,91.0,88.7,50.9,89.7,75.8
Galle,95.0,93.4,55.8,94.1,80.2
Matara,94.8,93.6,60.5,94.1,82.0
Hambantota,96.0,95.1,59.3,95.5,82.7
Ampara,92.8,90.0,50.8,91.3,76.5
Kurunegala,95.3,93.6,57.6,94.4,80.3
Puttalam,93.5,88.9,41.9,91.0,72.5
Anuradhapura,95.6,93.9,53.1,94.7,79.7
Polonnaruwa,94.5,92.1,47.4,93.1,76.4
Badulla,93.9,92.1,57.6,92.9,80.5
Moneragala,95.6,94.1,56.2,94.7,81.5
Ratnapura,93.3,90.8,51.8,91.9,77.2
Kegalle,94.7,93.2,58.4,93.9,80.7
