district,total_unemployment_rate_pct,male_unemployment_rate_pct,female_unemployment_rate_pct,grade_0_4_pct,grade_5_9_pct,gce_ol_pct,gce_al_pct,above_al_pct
Total,8.2,7.1,10.8,2.3,7.8,11.3,13.3,5.5
Colombo,6.3,5.5,8.0,3.8,6.7,7.0,6.4,2.5
Gampaha,8.3,7.8,9.3,3.7,8.4,9.1,9.4,3.8
Kalutara,9.8,8.8,12.3,3.6,9.7,12.0,13.2,5.5
Kandy,9.4,7.9,13.2,2.5,8.8,13.4,14.9,5.9
Matale,7.5,6.2,10.8,1.5,6.9,11.9,16.2,6.2
Nuwara Eliya,6.7,6.5,6.8,2.3,7.4,13.9,15.1,5.2
Galle,10.8,9.4,13.6,2.6,10.6,14.9,16.7,6.4
Matara,11.3,9.2,15.6,2.3,10.8,16.6,21.1,9.5
Hambantota,10.8,8.4,17.4,2.0,10.2,17.8,21.6,9.8
Ampara,11.1,8.8,20.9,3.4,8.5,18.6,25.6,9.0
Kurunegala,7.9,6.6,11.0,1.5,6.7,11.2,15.1,9.0
Puttalam,6.8,5.7,10.2,2.1,6.1,10.8,13.8,5.3
Anuradhapura,5.5,4.7,7.4,1.0,4.6,8.8,13.8,5.9
Polonnaruwa,6.4,5.1,10.4,1.3,5.9,10.3,15.7,5.4
Badulla,7.0,5.9,8.9,1.6,6.2,12.4,16.8,7.4
Moneragala,6.6,5.0,10.2,1.1,6.0,12.3,19.0,5.9
Ratnapura,8.1,6.8,10.7,1.9,7.8,13.7,18.0,6.0
Kegalle,10.5,9.0,13.9,2.8,9.7,14.2,18.2,9.5
